Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,Wins
1,Tampa Bay Buccaneers,12,31.4,403.7,66.3,6.1,1.33,0.50,24.4,29.5,43.1,311.1,2.83,0.83,7.0,16.6,21.9,92.6,1.00,4.2,6.25,6.50,60.1,1.58,45.2,11.9,13.3,9
2,Indianapolis Colts,13,28.5,368.1,63.8,5.8,1.23,0.77,22.3,20.6,32.7,216.4,1.69,0.46,6.3,10.7,29.5,151.7,1.54,5.1,9.54,4.77,42.9,2.08,45.1,9.2,9.96,7
3,Dallas Cowboys,12,29.4,416.3,67.8,6.1,1.33,0.58,23.3,26.4,38.5,287.3,2.08,0.75,7.1,14.6,27.6,129.0,0.92,4.7,6.42,8.00,70.9,2.25,41.6,10.9,8.13,8
4,New England Patriots,13,26.9,346.5,61.4,5.6,1.23,0.62,20.7,21.5,30.3,223.0,1.38,0.62,6.9,10.9,29.2,123.5,1.15,4.2,7.54,5.62,51.2,2.23,48.2,10.9,5.85,9
5,Arizona Cardinals,12,28.6,368.8,64.2,5.7,0.92,0.25,21.6,22.7,30.9,244.6,1.83,0.67,7.4,12.3,31.0,124.2,1.58,4.0,7.50,6.33,56.4,1.83,45.3,7.8,10.0,10
6,Philadelphia Eagles,13,25.9,356.2,62.6,5.7,1.00,0.38,20.9,17.9,29.2,196.2,1.15,0.62,6.3,9.69,31.7,160.0,1.46,5.0,9.85,6.38,49.5,1.38,42.1,9.8,6.58,6
7,Buffalo Bills,12,28.0,376.0,64.8,5.8,1.42,0.50,22.4,24.5,37.3,259.3,2.17,0.92,6.7,13.8,25.8,116.7,1.00,4.5,7.00,6.83,59.7,1.67,45.4,12.3,7.82,7
8,Los Angeles Rams,12,28.0,386.9,62.7,6.2,1.17,0.33,21.3,24.5,37.0,289.0,2.50,0.83,7.5,14.4,24.2,97.9,0.67,4.1,5.58,4.92,42.3,1.33,47.3,10.1,9.85,8
9,Cincinnati Bengals,12,27.6,355.6,62.2,5.7,1.58,0.42,19.7,21.8,32.0,245.0,2.00,1.17,7.0,12.1,27.2,110.6,1.25,4.1,6.00,4.17,35.3,1.58,40.7,13.6,3.98,7
10,Los Angeles Chargers,12,26.2,382.1,64.1,6.0,1.25,0.33,22.8,26.3,39.5,281.1,2.25,0.92,6.8,14.7,22.5,101.0,0.92,4.5,6.08,7.25,62.9,2.08,42.7,12.1,8.63,7
11,Minnesota Vikings,12,25.7,384.9,66.1,5.8,0.75,0.50,21.3,25.6,37.5,271.7,2.08,0.25,7.0,13.3,27.1,113.3,0.58,4.2,6.33,7.00,66.4,1.75,40.9,6.6,6.35,5
12,Tennessee Titans,12,25.3,354.2,67.0,5.3,1.75,0.67,21.8,21.5,32.7,213.4,1.25,1.08,6.0,11.8,31.6,140.8,1.42,4.5,7.92,6.42,60.1,2.08,38.3,15.0,5.09,8
13,San Francisco 49ers,12,25.3,365.1,61.3,6.0,1.50,0.75,21.0,19.3,29.8,239.2,1.50,0.75,7.6,11.3,29.6,125.9,1.33,4.3,7.67,6.08,65.3,2.08,40.9,12.6,6.98,6
14,Kansas City Chiefs,12,25.3,391.1,67.5,5.8,1.92,0.92,24.7,26.8,41.3,281.1,2.08,1.00,6.5,15.8,24.5,110.0,0.75,4.5,6.92,6.58,54.8,1.92,43.0,17.4,8.57,8
15,Green Bay Packers,12,23.6,355.0,62.6,5.7,0.83,0.42,21.0,22.6,34.5,248.3,2.00,0.42,6.8,12.8,26.2,106.7,0.67,4.1,6.08,4.50,44.8,2.08,41.3,6.6,8.65,9
16,Baltimore Ravens,12,23.5,387.9,71.0,5.5,1.50,0.33,24.1,22.8,35.4,240.8,1.33,1.17,6.2,12.4,32.0,147.1,1.08,4.6,9.83,6.08,50.9,1.83,39.0,12.8,4.71,8
17,New Orleans Saints,12,22.8,317.3,61.9,5.1,1.33,0.42,19.0,18.3,32.0,202.7,2.08,0.92,6.0,10.7,28.2,114.7,0.75,4.1,6.58,6.00,49.4,1.75,32.6,10.9,0.83,5
18,Las Vegas Raiders,12,22.8,379.3,62.8,6.0,1.00,0.25,20.5,25.5,37.6,291.3,1.42,0.75,7.3,13.0,23.0,88.0,0.92,3.8,5.33,7.92,69.9,2.17,40.4,8.8,5.56,6
19,Miami Dolphins,13,19.5,309.8,64.8,4.8,1.54,0.77,19.0,25.8,38.5,230.5,1.31,0.77,5.6,12.9,23.9,79.2,0.69,3.3,4.46,6.38,48.2,1.62,30.3,12.0,-0.49,6
20,Cleveland Browns,12,21.2,354.1,61.7,5.7,1.08,0.58,20.2,18.7,30.0,207.0,1.00,0.50,6.3,10.6,28.8,147.1,1.42,5.1,8.00,7.08,64.3,1.58,35.2,10.7,4.32,6
21,Washington Football Team,12,20.5,345.6,64.8,5.3,1.42,0.50,21.9,22.5,33.3,221.2,1.50,0.92,6.3,11.6,29.5,124.4,0.67,4.2,7.83,5.67,50.6,2.50,38.2,13.8,4.14,6
22,Pittsburgh Steelers,12,20.3,325.2,64.6,5.0,1.17,0.58,19.2,24.9,38.8,238.3,1.42,0.58,5.8,12.4,23.7,86.9,0.58,3.7,4.75,6.25,48.5,2.00,36.1,9.8,-0.02,6
23,Seattle Seahawks,12,19.9,298.3,55.3,5.4,0.83,0.42,16.9,19.9,29.5,201.3,1.58,0.42,6.1,9.67,22.5,97.0,0.83,4.3,5.33,5.42,43.3,1.92,28.1,7.4,2.88,4
24,Denver Broncos,12,19.8,343.9,62.5,5.5,1.25,0.50,20.3,22.6,33.9,225.9,1.33,0.75,6.2,11.4,25.9,118.0,0.75,4.6,7.08,5.25,44.6,1.75,36.1,11.5,4.67,6
25,Carolina Panthers,12,19.7,308.7,64.7,4.8,1.67,0.42,19.3,20.1,34.3,197.4,0.83,1.25,5.3,10.4,27.8,111.3,1.08,4.0,7.08,7.33,59.8,1.83,31.9,14.2,-3.64,5
26,New York Jets,12,18.1,327.1,62.9,5.2,2.08,0.42,19.8,23.8,38.5,242.4,1.42,1.67,5.9,12.8,21.7,84.7,0.75,3.9,4.92,6.83,55.1,2.00,29.3,18.8,-1.32,3
27,Atlanta Falcons,12,18.0,316.3,61.8,5.1,1.58,0.42,19.0,24.0,36.1,228.3,1.33,1.17,6.0,12.5,23.5,88.0,0.58,3.7,4.08,5.92,48.0,2.42,30.2,14.7,-0.88,5
28,New York Giants,12,17.6,311.8,61.4,5.1,1.25,0.42,18.8,22.8,36.2,221.0,0.92,0.83,5.8,11.6,23.1,90.8,0.58,3.9,5.00,5.58,44.4,2.25,32.8,11.5,-1.47,4
29,Detroit Lions,12,16.9,310.9,62.2,5.0,1.33,0.58,19.3,23.5,35.3,201.1,1.08,0.75,5.3,11.3,24.3,109.8,0.75,4.5,6.17,6.75,53.9,1.92,29.7,12.5,-2.10,1
30,Chicago Bears,12,16.8,298.8,61.1,4.9,1.58,0.42,18.8,17.8,29.3,173.8,0.83,1.17,5.3,9.92,28.5,125.1,0.83,4.4,7.00,6.25,55.3,1.92,29.8,14.9,-1.54,4
31,Jacksonville Jaguars,12,15.0,312.3,60.8,5.1,1.75,0.92,18.1,20.8,35.7,201.8,0.75,0.83,5.4,10.2,23.3,110.6,0.92,4.7,5.83,6.67,54.4,2.08,23.6,15.7,-2.23,2
32,Houston Texans,12,13.7,254.5,57.9,4.4,1.67,0.58,14.1,19.8,31.3,175.8,1.00,1.08,5.1,8.92,23.8,78.8,0.50,3.3,3.83,6.67,54.9,1.33,22.8,14.0,-8.37,2
